-100 -100 -100 
-100 -80 -100 
-100 -60 -100 
-100 -40 -100 
-100 -20 -100 
-100 0 -100 
-100 20 -100 
-100 40 -100 
-100 60 -100 
-100 80 -100 
-100 100 -100 

-80 -100 -100 
-80 -80 -100 
-80 -60 -100 
-80 -40 -100 
-80 -20 -100 
-80 0 -100 
-80 20 -100 
-80 40 -100 
-80 60 -100 
-80 80 -100 
-80 100 -100 

-60 -100 -100 
-60 -80 -100 
-60 -60 -100 
-60 -40 -100 
-60 -20 -100 
-60 0 -100 
-60 20 -100 
-60 40 -100 
-60 60 -100 
-60 80 -100 
-60 100 -100 

-40 -100 -100 
-40 -80 -100 
-40 -60 -100 
-40 -40 -100 
-40 -20 -100 
-40 0 -100 
-40 20 -100 
-40 40 -100 
-40 60 -100 
-40 80 -100 
-40 100 -100 

-20 -100 -100 
-20 -80 -100 
-20 -60 -100 
-20 -40 -100 
-20 -20 -100 
-20 0 -100 
-20 20 -100 
-20 40 -100 
-20 60 -100 
-20 80 -100 
-20 100 -100 

0 -100 -100 
0 -80 -100 
0 -60 -100 
0 -40 -100 
0 -20 -100 
0 0 -100 
0 20 -100 
0 40 -100 
0 60 -100 
0 80 -100 
0 100 -100 

20 -100 -100 
20 -80 -100 
20 -60 -100 
20 -40 -100 
20 -20 -100 
20 0 -100 
20 20 -100 
20 40 -100 
20 60 -100 
20 80 -100 
20 100 -100 

40 -100 -100 
40 -80 -100 
40 -60 -100 
40 -40 -100 
40 -20 -100 
40 0 -100 
40 20 -100 
40 40 -100 
40 60 -100 
40 80 -100 
40 100 -100 

60 -100 -100 
60 -80 -100 
60 -60 -100 
60 -40 -100 
60 -20 -100 
60 0 -100 
60 20 -100 
60 40 -100 
60 60 -100 
60 80 -100 
60 100 -100 

80 -100 -100 
80 -80 -100 
80 -60 -100 
80 -40 -100 
80 -20 -100 
80 0 -100 
80 20 -100 
80 40 -100 
80 60 -100 
80 80 -100 
80 100 -100 

100 -100 -100 
100 -80 -100 
100 -60 -100 
100 -40 -100 
100 -20 -100 
100 0 -100 
100 20 -100 
100 40 -100 
100 60 -100 
100 80 -100 
100 100 -100 
